Step Name,Workspace,State,Run Time,Elapsed Time,Start Time,Submit Time,End Time,Number Restarts
postera_FEAT.smiles_to_seq,FEAT.smiles_to_seq,FINISHED,0d:00h:04m:01s,0d:00h:05m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:44:31,0
postera_FEAT.smiles_to_image,FEAT.smiles_to_image,FINISHED,0d:00h:05m:01s,0d:00h:06m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:45:31,0
postera_FEAT.rdkit,FEAT.rdkit,FINISHED,0d:00h:05m:01s,0d:00h:06m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:45:31,0
postera_FEAT.mordred,FEAT.mordred,FINISHED,0d:00h:04m:01s,0d:00h:05m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:44:31,0
postera_FEAT.ecfp,FEAT.ecfp,FINISHED,0d:00h:04m:01s,0d:00h:05m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:44:31,0
postera_FEAT.maacs,FEAT.maacs,FINISHED,0d:00h:04m:01s,0d:00h:05m:01s,2022-06-04 00:40:30,2022-06-04 00:39:30,2022-06-04 00:44:31,0
