,model,enrich,p,target,seed
0,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,0.0
1,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,0.0
2,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,1.0
3,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,1.0
4,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,2.0
5,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,2.0
6,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,3.0
7,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,3.0
8,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,4.0
9,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,4.0
10,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,5.0
11,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,5.0
12,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,6.0
13,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,6.0
14,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,7.0
15,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,7.0
16,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,8.0
17,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,8.0
18,smiles-pe.atomwise.0,0.0,0.01,ESR1_ago,9.0
19,smiles-pe.atomwise.0,3.3309523809523807,0.1,ESR1_ago,9.0
20,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,0.0
21,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,0.0
22,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,1.0
23,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,1.0
24,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,2.0
25,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,2.0
26,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,3.0
27,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,3.0
28,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,4.0
29,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,4.0
30,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,5.0
31,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,5.0
32,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,6.0
33,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,6.0
34,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,7.0
35,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,7.0
36,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,8.0
37,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,8.0
38,smiles-pe.atomwise.0,2.1725207620908646,0.01,FEN1,9.0
39,smiles-pe.atomwise.0,0.5434354913605591,0.1,FEN1,9.0
40,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,0.0
41,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,0.0
42,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,1.0
43,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,1.0
44,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,2.0
45,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,2.0
46,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,3.0
47,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,3.0
48,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,4.0
49,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,4.0
50,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,5.0
51,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,5.0
52,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,6.0
53,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,6.0
54,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,7.0
55,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,7.0
56,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,8.0
57,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,8.0
58,smiles-pe.atomwise.0,0.6693476977567886,0.01,ALDH1,9.0
59,smiles-pe.atomwise.0,0.8424946118568674,0.1,ALDH1,9.0
60,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,0.0
61,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,0.0
62,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,1.0
63,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,1.0
64,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,2.0
65,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,2.0
66,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,3.0
67,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,3.0
68,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,4.0
69,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,4.0
70,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,5.0
71,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,5.0
72,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,6.0
73,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,6.0
74,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,7.0
75,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,7.0
76,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,8.0
77,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,8.0
78,smiles-pe.atomwise.0,0.45232617781637396,0.01,VDR,9.0
79,smiles-pe.atomwise.0,0.9954527604756439,0.1,VDR,9.0
80,smiles-pe.atomwise.0,0.0,0.01,PPARG,0.0
81,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,0.0
82,smiles-pe.atomwise.0,0.0,0.01,PPARG,1.0
83,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,1.0
84,smiles-pe.atomwise.0,0.0,0.01,PPARG,2.0
85,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,2.0
86,smiles-pe.atomwise.0,0.0,0.01,PPARG,3.0
87,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,3.0
88,smiles-pe.atomwise.0,0.0,0.01,PPARG,4.0
89,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,4.0
90,smiles-pe.atomwise.0,0.0,0.01,PPARG,5.0
91,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,5.0
92,smiles-pe.atomwise.0,0.0,0.01,PPARG,6.0
93,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,6.0
94,smiles-pe.atomwise.0,0.0,0.01,PPARG,7.0
95,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,7.0
96,smiles-pe.atomwise.0,0.0,0.01,PPARG,8.0
97,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,8.0
98,smiles-pe.atomwise.0,0.0,0.01,PPARG,9.0
99,smiles-pe.atomwise.0,1.4285714285714284,0.1,PPARG,9.0
100,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,0.0
101,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,0.0
102,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,1.0
103,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,1.0
104,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,2.0
105,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,2.0
106,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,3.0
107,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,3.0
108,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,4.0
109,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,4.0
110,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,5.0
111,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,5.0
112,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,6.0
113,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,6.0
114,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,7.0
115,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,7.0
116,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,8.0
117,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,8.0
118,smiles-pe.atomwise.0,3.8800756205819495,0.01,MAPK1,9.0
119,smiles-pe.atomwise.0,0.7789732503836697,0.1,MAPK1,9.0
120,smiles-pe.atomwise.0,0.0,0.01,TP53,0.0
121,smiles-pe.atomwise.0,0.4962616822429907,0.1,TP53,0.0
122,smiles-pe.atomwise.0,0.0,0.01,TP53,1.0
123,smiles-pe.atomwise.0,0.4962616822429907,0.1,TP53,1.0
