model,target,p,count,mean,std,min,25%,50%,75%,max
HDC-RF,ADRB2,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDC-RF,ADRB2,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDC-RF,ALDH1,0.01,10.0,8.043328168044079,0.18179344487094168,7.753277499016136,7.976393398268398,8.060061860487998,8.199509297520661,8.255288272333727
HDC-RF,ALDH1,0.1,10.0,1.5844380635730038,0.03373809498401878,1.523605464443219,1.5584865419258938,1.5849961608127263,1.6129010227988658,1.6240629675933216
HDC-RF,ESR1_ago,0.01,10.0,3.330952380952381,10.533396301370386,0.0,0.0,0.0,0.0,33.30952380952381
HDC-RF,ESR1_ago,0.1,10.0,2.9978571428571428,1.0533396301370386,0.0,3.3309523809523807,3.3309523809523807,3.3309523809523807,3.3309523809523807
HDC-RF,ESR1_ant,0.01,10.0,22.793786982248527,1.1816439895836268,22.42011834319527,22.42011834319527,22.42011834319527,22.42011834319527,26.15680473372781
HDC-RF,ESR1_ant,0.1,10.0,3.0842490842490844,0.0,3.0842490842490844,3.0842490842490844,3.0842490842490844,3.0842490842490844,3.0842490842490844
HDC-RF,FEN1,0.01,10.0,19.987191011235957,1.2750391728761907,17.380166096726917,19.552686858817783,20.638947239863214,20.638947239863214,21.725207620908648
HDC-RF,FEN1,0.1,10.0,2.467474530949053,0.0894891708512437,2.282685689424233,2.4185598376042474,2.500084326512256,2.500084326512256,2.6087836450562665
HDC-RF,GBA,0.01,10.0,9.755976479660692,2.3662500519182688,7.13851937536148,7.733395989974937,9.518025833815308,11.302655677655675,14.27703875072296
HDC-RF,GBA,0.1,10.0,1.880825392538868,0.208460933779609,1.6665541452876047,1.6665541452876047,1.9046333089001195,2.0831926816095057,2.1427124725126343
HDC-RF,IDH1,0.01,10.0,17.984503311258287,7.881315292505421,9.991390728476825,9.991390728476825,19.98278145695365,19.98278145695365,29.97417218543046
HDC-RF,IDH1,0.1,10.0,4.100090587715423,0.3162347529316858,4.0000883782589485,4.0000883782589485,4.0000883782589485,4.0000883782589485,5.000110472823685
HDC-RF,KAT2A,0.01,10.0,4.89717281407976,1.426721716229215,4.080977345066467,4.080977345066467,4.080977345066467,5.611343849466392,8.161954690132934
HDC-RF,KAT2A,0.1,10.0,2.2039805163951116,0.08604442407953838,2.040722700365845,2.244794970402429,2.244794970402429,2.244794970402429,2.244794970402429
