,iterations,encoding_dim,quantization_level,sim_metric,accuracy_score,precision_score,recall_score,f1_score,train_time
0,20,8890,26,cos,0.8163265306122449,0.7402597402597403,0.7808219178082192,0.7600000000000001,1641947061.5785348
1,20,9496,8,cos,0.8520408163265306,0.782051282051282,0.8356164383561644,0.8079470198675496,1641947075.4805496
2,20,12930,14,,0.8214285714285714,0.7261904761904762,0.8356164383561644,0.7770700636942677,1641947088.7087653
3,20,13536,5,cos,0.8112244897959183,0.7195121951219512,0.8082191780821918,0.7612903225806452,1641947102.483823
4,20,13536,1,cos,0.6275510204081632,0.0,0.0,0.0,1641947115.9373822
5,20,1820,8,,0.826530612244898,0.782608695652174,0.7397260273972602,0.7605633802816901,1641947128.992102
6,20,16768,1,,0.6275510204081632,0.0,0.0,0.0,1641947142.0710914
7,20,4244,26,,0.826530612244898,0.76,0.7808219178082192,0.7702702702702703,1641947155.2636929
8,20,7274,28,,0.8367346938775511,0.759493670886076,0.821917808219178,0.7894736842105263,1641947168.2733932
9,20,17576,7,cos,0.8112244897959183,0.725,0.7945205479452054,0.7581699346405228,1641947182.9101098
10,20,14142,4,,0.8775510204081632,0.8450704225352113,0.821917808219178,0.8333333333333333,1641947196.6041198
11,20,17778,25,cos,0.8061224489795918,0.7272727272727273,0.7671232876712328,0.7466666666666667,1641947210.0605664
12,20,17778,5,cos,0.8010204081632653,0.7073170731707317,0.7945205479452054,0.7483870967741935,1641947223.7260044
13,20,2426,4,cos,0.8571428571428571,0.7710843373493976,0.8767123287671232,0.8205128205128205,1641947237.3532398
14,20,11718,16,cos,0.8520408163265306,0.782051282051282,0.8356164383561644,0.8079470198675496,1641947251.2388651
15,20,13132,20,,0.8061224489795918,0.7108433734939759,0.8082191780821918,0.7564102564102564,1641947264.403078
16,20,7880,25,,0.8010204081632653,0.7297297297297297,0.7397260273972602,0.7346938775510203,1641947277.7378335
17,20,17576,11,,0.8214285714285714,0.7209302325581395,0.8493150684931506,0.779874213836478,1641947290.798143
18,20,9294,14,cos,0.8163265306122449,0.7078651685393258,0.863013698630137,0.7777777777777778,1641947304.295888
19,20,17778,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,1641947317.3708057
20,20,16364,16,cos,0.8520408163265306,0.7682926829268293,0.863013698630137,0.8129032258064516,1641947330.9969072
21,20,7476,28,cos,0.826530612244898,0.7407407407407407,0.821917808219178,0.7792207792207793,1641947344.5752718
22,20,5052,17,,0.8367346938775511,0.759493670886076,0.821917808219178,0.7894736842105263,1641947357.8859892
23,20,15556,4,,0.8622448979591837,0.8484848484848485,0.7671232876712328,0.8057553956834531,1641947371.0728374
24,20,14546,4,,0.8673469387755102,0.821917808219178,0.821917808219178,0.821917808219178,1641947384.5827205
25,20,1820,5,,0.7908163265306123,0.7162162162162162,0.726027397260274,0.7210884353741497,1641947397.7294164
26,20,4042,5,,0.7908163265306123,0.7162162162162162,0.726027397260274,0.7210884353741497,1641947411.124621
27,20,16162,28,,0.8214285714285714,0.7435897435897436,0.7945205479452054,0.7682119205298013,1641947424.4306185
28,20,13940,22,cos,0.7908163265306123,0.7285714285714285,0.6986301369863014,0.7132867132867133,1641947438.1052337
29,20,15960,5,cos,0.8010204081632653,0.7361111111111112,0.726027397260274,0.7310344827586207,1641947451.917496
30,20,9496,26,,0.826530612244898,0.7671232876712328,0.7671232876712328,0.7671232876712328,1641947465.0503623
31,20,12930,28,,0.8214285714285714,0.7435897435897436,0.7945205479452054,0.7682119205298013,1641947478.6244538
32,20,16566,22,,0.8061224489795918,0.7333333333333333,0.7534246575342466,0.7432432432432433,1641947491.8354769
33,20,20000,14,,0.826530612244898,0.7349397590361446,0.8356164383561644,0.7820512820512822,1641947505.3666532
34,20,17778,2,,0.826530612244898,0.8679245283018868,0.6301369863013698,0.73015873015873,1641947518.4913695
35,20,9900,7,,0.8010204081632653,0.7236842105263158,0.7534246575342466,0.738255033557047,1641947531.6123781
36,20,5860,16,,0.8520408163265306,0.775,0.8493150684931506,0.8104575163398693,1641947543.7495344
37,20,3840,17,,0.8214285714285714,0.7638888888888888,0.7534246575342466,0.7586206896551725,1641947556.5859447
38,20,3840,13,,0.8877551020408163,0.8227848101265823,0.8904109589041096,0.855263157894737,1641947568.65553
39,20,2830,17,,0.8418367346938775,0.7916666666666666,0.7808219178082192,0.7862068965517242,1641947581.216128
40,20,7880,4,cos,0.8673469387755102,0.8133333333333334,0.8356164383561644,0.8243243243243243,1641947593.841622
41,20,6466,30,cos,0.8520408163265306,0.8142857142857143,0.7808219178082192,0.7972027972027972,1641947607.0359874
42,20,13132,25,cos,0.8163265306122449,0.7534246575342466,0.7534246575342466,0.7534246575342466,1641947619.67932
43,20,1820,1,cos,0.6275510204081632,0.0,0.0,0.0,1641947632.469534
44,20,11516,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,1641947644.629468
45,20,6466,10,,0.8520408163265306,0.775,0.8493150684931506,0.8104575163398693,1641947657.133452
