,iterations,encoding_dim,quantization_level,sim_metric,accuracy_score,precision_score,recall_score,f1_score,train_time
50,20,15152,13,,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641949650.138045
51,20,11112,20,,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949663.2644377
52,20,5658,4,,0.9081632653061225,0.9104477611940298,0.8356164383561644,0.8714285714285713,1641949676.3253589
53,20,6870,5,,0.9030612244897959,0.875,0.863013698630137,0.8689655172413793,1641949689.4988794
54,20,2,4,,0.5051020408163265,0.14705882352941177,0.0684931506849315,0.09345794392523364,1641949702.749503
55,20,2,17,cos,0.5255102040816326,0.4090909090909091,0.6164383561643836,0.4918032786885246,1641949716.4962008
56,20,7274,20,cos,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949729.9023945
57,20,10708,25,cos,0.8877551020408163,0.8227848101265823,0.8904109589041096,0.855263157894737,1641949743.558872
58,20,1012,13,cos,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641949757.0701866
59,20,7678,13,,0.8928571428571429,0.8421052631578947,0.8767123287671232,0.8590604026845637,1641949770.3576179
60,20,3436,30,,0.8775510204081632,0.8024691358024691,0.8904109589041096,0.8441558441558442,1641949783.4586916
61,20,15960,13,cos,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641949797.0110543
62,20,810,4,,0.9081632653061225,0.9104477611940298,0.8356164383561644,0.8714285714285713,1641949810.112062
63,20,8486,5,cos,0.9081632653061225,0.8873239436619719,0.863013698630137,0.875,1641949823.5666933
64,20,11718,19,cos,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641949837.1976779
65,20,6264,22,,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949850.220272
66,20,204,1,cos,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,1641949863.8000839
67,20,13132,7,,0.9030612244897959,0.8461538461538461,0.9041095890410958,0.8741721854304636,1641949876.8927796
68,20,8284,5,cos,0.9030612244897959,0.8648648648648649,0.8767123287671232,0.870748299319728,1641949890.6272776
69,20,11516,20,,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949903.7345197
70,20,7072,17,cos,0.9030612244897959,0.8648648648648649,0.8767123287671232,0.870748299319728,1641949917.1291602
71,20,2224,20,cos,0.8877551020408163,0.8311688311688312,0.8767123287671232,0.8533333333333334,1641949930.5264468
72,20,9294,20,cos,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949944.1036227
73,20,16566,17,cos,0.8979591836734694,0.8533333333333334,0.8767123287671232,0.8648648648648648,1641949957.653498
74,20,18384,25,,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949970.7981899
75,20,2,22,,0.41836734693877553,0.22666666666666666,0.2328767123287671,0.22972972972972974,1641949984.1317859
76,20,2830,25,,0.8622448979591837,0.7875,0.863013698630137,0.8235294117647058,1641949997.1664152
77,20,20000,30,cos,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641950010.7794933
78,20,10708,2,,0.826530612244898,0.9333333333333333,0.5753424657534246,0.7118644067796611,1641950023.9876266
79,20,2426,13,cos,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641950037.6558905
80,20,8486,1,,0.37244897959183676,0.37244897959183676,1.0,0.5427509293680297,1641950050.8237286
81,20,16970,7,cos,0.9030612244897959,0.8461538461538461,0.9041095890410958,0.8741721854304636,1641950064.4852011
82,20,15152,10,cos,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641950077.9449577
83,20,13738,20,cos,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641950091.696624
84,20,1214,11,cos,0.8979591836734694,0.8533333333333334,0.8767123287671232,0.8648648648648648,1641950105.208542
85,20,13738,23,,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641950118.3532379
86,20,9496,14,,0.8928571428571429,0.8421052631578947,0.8767123287671232,0.8590604026845637,1641950131.4296257
87,20,608,28,,0.8622448979591837,0.7804878048780488,0.8767123287671232,0.8258064516129032,1641950144.437553
88,20,15354,13,cos,0.8775510204081632,0.8181818181818182,0.863013698630137,0.8400000000000001,1641950158.7105458
89,20,10506,23,,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641950172.8692272
90,20,15758,17,cos,0.9030612244897959,0.8648648648648649,0.8767123287671232,0.870748299319728,1641950187.6476123
91,20,3032,10,cos,0.8877551020408163,0.8311688311688312,0.8767123287671232,0.8533333333333334,1641950202.1453502
92,20,4042,23,,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641950216.2192922
93,20,20000,2,,0.8163265306122449,0.9302325581395349,0.547945205479452,0.689655172413793,1641950230.3254123
94,20,11718,19,,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641950244.3688588
95,20,4648,5,cos,0.8979591836734694,0.863013698630137,0.863013698630137,0.863013698630137,1641950258.880175
96,20,15960,28,,0.8724489795918368,0.8,0.8767123287671232,0.8366013071895425,1641950272.3128712
97,20,2628,23,,0.8775510204081632,0.8181818181818182,0.863013698630137,0.8400000000000001,1641950285.444842
98,20,17172,5,cos,0.9030612244897959,0.875,0.863013698630137,0.8689655172413793,1641950299.0270169
99,20,9698,16,,0.8775510204081632,0.8181818181818182,0.863013698630137,0.8400000000000001,1641950312.136124
