,iterations,encoding_dim,quantization_level,sim_metric,accuracy_score,precision_score,recall_score,f1_score,train_time
0,20,8890,26,cos,0.8724489795918368,0.8,0.8767123287671232,0.8366013071895425,1641948968.478602
1,20,9496,8,cos,0.8979591836734694,0.8533333333333334,0.8767123287671232,0.8648648648648648,1641948982.3863785
2,20,12930,14,,0.8928571428571429,0.8421052631578947,0.8767123287671232,0.8590604026845637,1641948995.627225
3,20,13536,5,cos,0.9030612244897959,0.875,0.863013698630137,0.8689655172413793,1641949009.4199686
4,20,13536,1,cos,0.6275510204081632,0.0,0.0,0.0,1641949022.8918054
5,20,1820,8,,0.8877551020408163,0.8493150684931506,0.8493150684931506,0.8493150684931505,1641949036.0571136
6,20,16768,1,,0.6275510204081632,0.0,0.0,0.0,1641949049.17981
7,20,4244,26,,0.8775510204081632,0.8024691358024691,0.8904109589041096,0.8441558441558442,1641949062.4799235
8,20,7274,28,,0.8724489795918368,0.7926829268292683,0.8904109589041096,0.8387096774193549,1641949075.7169423
9,20,17576,7,cos,0.9030612244897959,0.8461538461538461,0.9041095890410958,0.8741721854304636,1641949089.2685165
10,20,14142,4,,0.9132653061224489,0.9242424242424242,0.8356164383561644,0.8776978417266188,1641949102.4202697
11,20,17778,25,cos,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949115.9326055
12,20,17778,5,cos,0.8979591836734694,0.8732394366197183,0.8493150684931506,0.861111111111111,1641949129.4102063
13,20,2426,4,cos,0.8928571428571429,0.90625,0.7945205479452054,0.8467153284671532,1641949143.487678
14,20,11718,16,cos,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641949158.1888616
15,20,13132,20,,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949172.2502587
16,20,7880,25,,0.8775510204081632,0.8181818181818182,0.863013698630137,0.8400000000000001,1641949186.1941957
17,20,17576,11,,0.8928571428571429,0.8421052631578947,0.8767123287671232,0.8590604026845637,1641949200.0530415
18,20,9294,14,cos,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641949214.418619
19,20,17778,1,,0.6275510204081632,0.0,0.0,0.0,1641949228.4938807
20,20,16364,16,cos,0.8877551020408163,0.84,0.863013698630137,0.8513513513513513,1641949242.998691
21,20,7476,28,cos,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949257.473354
22,20,5052,17,,0.8928571428571429,0.8333333333333334,0.8904109589041096,0.8609271523178808,1641949271.4429781
23,20,15556,4,,0.9132653061224489,0.9242424242424242,0.8356164383561644,0.8776978417266188,1641949285.432344
24,20,14546,4,,0.9030612244897959,0.9090909090909091,0.821917808219178,0.8633093525179857,1641949299.446055
25,20,1820,5,,0.9081632653061225,0.8873239436619719,0.863013698630137,0.875,1641949313.4143007
26,20,4042,5,,0.8979591836734694,0.8732394366197183,0.8493150684931506,0.861111111111111,1641949327.3298445
27,20,16162,28,,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949341.5495057
28,20,13940,22,cos,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949356.0815792
29,20,15960,5,cos,0.9030612244897959,0.875,0.863013698630137,0.8689655172413793,1641949370.587906
30,20,9496,26,,0.8622448979591837,0.7875,0.863013698630137,0.8235294117647058,1641949384.540184
31,20,12930,28,,0.8826530612244898,0.8125,0.8904109589041096,0.8496732026143791,1641949398.5326736
32,20,16566,22,,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949412.357631
33,20,20000,14,,0.8928571428571429,0.8421052631578947,0.8767123287671232,0.8590604026845637,1641949425.4538655
34,20,17778,2,,0.8520408163265306,0.84375,0.7397260273972602,0.7883211678832116,1641949438.7550035
35,20,9900,7,,0.9030612244897959,0.8461538461538461,0.9041095890410958,0.8741721854304636,1641949451.7416968
36,20,5860,16,,0.8775510204081632,0.8181818181818182,0.863013698630137,0.8400000000000001,1641949464.7243543
37,20,3840,17,,0.9030612244897959,0.8648648648648649,0.8767123287671232,0.870748299319728,1641949477.60329
38,20,3840,13,,0.8826530612244898,0.8205128205128205,0.8767123287671232,0.847682119205298,1641949490.698866
39,20,2830,17,,0.8928571428571429,0.8333333333333334,0.8904109589041096,0.8609271523178808,1641949503.6875405
40,20,7880,4,cos,0.9081632653061225,0.9230769230769231,0.821917808219178,0.8695652173913043,1641949517.4605134
41,20,6466,30,cos,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949530.9716914
42,20,13132,25,cos,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949544.6178226
43,20,1820,1,cos,0.6275510204081632,0.0,0.0,0.0,1641949558.3210642
44,20,11516,1,,0.6275510204081632,0.0,0.0,0.0,1641949571.498616
45,20,6466,10,,0.8928571428571429,0.8513513513513513,0.863013698630137,0.8571428571428572,1641949584.605136
46,20,6264,30,,0.8775510204081632,0.8024691358024691,0.8904109589041096,0.8441558441558442,1641949597.5466893
47,20,14950,22,cos,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949611.1151326
48,20,4648,16,,0.8826530612244898,0.8289473684210527,0.863013698630137,0.8456375838926175,1641949624.0999713
49,20,7072,30,,0.8775510204081632,0.810126582278481,0.8767123287671232,0.8421052631578948,1641949637.0325446
