dataset	nway	kshot	kquery	n_problems	classifier_type	hidden_size	num_epochs	acc	ci95
postera	3	1	10	100	HD	8192	0	51.1	2.1
postera	3	1	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	1	10	100	L1	0	0	51.85	1.61
postera	3	1	10	100	L2	0	0	52.55	2.0
postera	3	1	10	100	cosine	0	0	53.85	2.1
postera	3	1	10	100	MLP	512	5	54.05	1.94
postera	3	1	10	100	Uniform	0	0	0.5	0.02
postera	3	1	10	100	Majority	0	0	0.5	0.0
postera	3	2	10	100	HD	8192	0	53.8	2.14
postera	3	2	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	2	10	100	L1	0	0	52.75	1.72
postera	3	2	10	100	L2	0	0	53.9	1.55
postera	3	2	10	100	cosine	0	0	54.85	2.13
postera	3	2	10	100	MLP	512	5	51.9	2.31
postera	3	2	10	100	Uniform	0	0	0.5	0.02
postera	3	2	10	100	Majority	0	0	0.5	0.0
postera	3	4	10	100	HD	8192	0	54.25	2.37
postera	3	4	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	4	10	100	L1	0	0	56.5	1.65
postera	3	4	10	100	L2	0	0	57.15	1.7
postera	3	4	10	100	cosine	0	0	54.7	2.19
postera	3	4	10	100	MLP	512	5	55.4	2.1
postera	3	4	10	100	Uniform	0	0	0.5	0.02
postera	3	4	10	100	Majority	0	0	0.5	0.0
postera	3	8	10	100	HD	8192	0	57.3	2.13
postera	3	8	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	8	10	100	L1	0	0	58.95	1.7
postera	3	8	10	100	L2	0	0	57.7	2.13
postera	3	8	10	100	cosine	0	0	54.0	2.19
postera	3	8	10	100	MLP	512	5	56.95	2.07
postera	3	8	10	100	Uniform	0	0	0.51	0.02
postera	3	8	10	100	Majority	0	0	0.5	0.0
postera	3	16	10	100	HD	8192	0	59.0	1.83
postera	3	16	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	16	10	100	L1	0	0	60.15	1.98
postera	3	16	10	100	L2	0	0	62.4	1.76
postera	3	16	10	100	cosine	0	0	56.6	2.02
postera	3	16	10	100	MLP	512	5	58.4	1.89
postera	3	16	10	100	Uniform	0	0	0.49	0.02
postera	3	16	10	100	Majority	0	0	0.5	0.0
postera	3	32	10	100	HD	8192	0	59.35	1.83
postera	3	32	10	100	HD-Sparse	8192	0	0.0	0.0
postera	3	32	10	100	L1	0	0	62.85	1.78
postera	3	32	10	100	L2	0	0	62.4	1.86
postera	3	32	10	100	cosine	0	0	59.35	2.14
postera	3	32	10	100	MLP	512	5	59.3	1.83
postera	3	32	10	100	Uniform	0	0	0.51	0.02
postera	3	32	10	100	Majority	0	0	0.5	0.0
